Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
4/28/2017,Phú Cường,116,High tide,4,28.6,86,0.08,,0.248,0.044,6.522
4/15/2018,Phú Cường,116,High tide,4,28.6,46,0.1,,0,0.04,3.848
3/16/2018,Phú Cường,116,Low tide,3,28.9,19,0.06,,0.24,0.04,4.31
4/15/2018,Phú Cường,116,Low tide,4,28.9,45,0.09,,0,0.04,3.68
3/27/2017,Phú Cường,116,High tide,3,28.2,69,0.11,,0.157,0.03,3.904
11/11/2018,Phú Cường,116,High tide,11,29.2,122,,,0.11,0.03,4.73
9/22/2017,Phú Cường,116,High tide,9,28.7,47,0.04,,0.402,0.03,4.086
2/14/2018,Phú Cường,116,High tide,2,28.7,41,0.06,,0.54,0.03,4.45
9/22/2017,Phú Cường,116,Low tide,9,29.2,46,0.04,,0.411,0.026,3.624
2/14/2018,Phú Cường,116,Low tide,2,28.5,48,0.06,,0.53,0.03,4.24
9/12/2018,Phú Cường,116,High tide,9,28.9,88,0.05,,0.63,0.02,3.876
9/12/2018,Phú Cường,116,Low tide,9,28.5,60,0.06,,0.76,0.02,6.522
2/12/2017,Phú Cường,116,Low tide,2,29,114,0.07,,0.227,0.02,3.274
2/12/2017,Phú Cường,116,High tide,2,29.1,101,0.07,,0.242,0.015,3.106
1/15/2017,Phú Cường,116,High tide,1,29.6,34,0.06,,0.108,0.01,3.4
1/15/2017,Phú Cường,116,Low tide,1,29.7,45,0.06,,0.067,0.01,4.072
12/11/2018,Bình Lợi,90,High tide,12,30,52,,,2.63,0.15,
9/12/2018,Bình Lợi,90,High tide,9,29.6,62,0.15,,0,0.03,
4/15/2018,Bình Lợi,90,Low tide,4,29.3,2,0.52,,1.96,0.14,
2/14/2018,Bình Lợi,90,High tide,2,29.6,56,0.55,,3.01,0.05,
4/28/2017,Bình Lợi,90,Low tide,4,29.7,79,0.44,,1.066,0.056,
10/12/2018,Bình Lợi,90,Low tide,10,29.1,42,0.14,,0.54,0.02,
12/11/2018,Bình Lợi,90,Low tide,12,29.6,103,,,1.95,0.09,
11/11/2018,Bình Lợi,90,Low tide,11,29,77,,,1.58,0.05,
10/9/2017,Bình Lợi,90,High tide,10,29.6,50,0.11,,1.778,0.128,
4/15/2018,Bình Lợi,90,High tide,4,29.1,68,0.66,,0,0.02,
3/16/2018,Bình Lợi,90,High tide,3,29.1,31,0.8,,0.29,0.02,
